epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,44.5383,1.46165,5.4814,1.00423,0.64957,0.0796,0.0561,0.04152,1.10956,2.56867,0.88332,6.51233e-05,6.51233e-05,6.51233e-05
2,83.2608,1.17897,3.45145,0.90451,0.63519,0.16401,0.14761,0.11412,0.95953,1.82325,0.85903,0.000123999,0.000123999,0.000123999
3,119.814,1.08104,2.72578,0.88573,0.67114,0.21409,0.23121,0.17633,0.90326,1.41849,0.849,0.000176407,0.000176407,0.000176407
4,155.872,1.02766,2.25753,0.87527,0.70745,0.25755,0.31995,0.24934,0.86904,1.22604,0.84056,0.000166894,0.000166894,0.000166894
5,192.675,0.9889,1.92441,0.87171,0.5448,0.3747,0.40468,0.31994,0.85652,1.0927,0.83881,0.000157192,0.000157192,0.000157192
6,230.935,0.94448,1.69013,0.86039,0.66857,0.37234,0.46891,0.36893,0.82744,0.9686,0.83116,0.00014749,0.00014749,0.00014749
7,269.514,0.92447,1.484,0.86014,0.60445,0.4813,0.52743,0.42142,0.81837,0.92784,0.83121,0.000137788,0.000137788,0.000137788
8,308.02,0.902,1.36858,0.85528,0.61739,0.51162,0.55266,0.44311,0.78074,0.86665,0.82622,0.000128086,0.000128086,0.000128086
9,346.834,0.89085,1.25286,0.85232,0.70373,0.55798,0.60038,0.4739,0.78394,0.87909,0.82525,0.000118384,0.000118384,0.000118384
10,385.109,0.87511,1.16956,0.84643,0.76591,0.58926,0.65022,0.5252,0.73998,0.77872,0.81931,0.000108682,0.000108682,0.000108682
11,442.478,0.83234,1.22409,0.84563,0.66588,0.65445,0.69109,0.55421,0.75733,0.75961,0.82349,9.898e-05,9.898e-05,9.898e-05
12,479.951,0.81068,1.10268,0.84559,0.69693,0.67677,0.71416,0.57142,0.75508,0.7299,0.82412,8.9278e-05,8.9278e-05,8.9278e-05
13,517.327,0.79689,1.03127,0.84304,0.74744,0.6832,0.76627,0.61073,0.73849,0.72064,0.81838,7.9576e-05,7.9576e-05,7.9576e-05
14,555.523,0.77728,0.96385,0.84026,0.77011,0.67697,0.77659,0.63011,0.72469,0.65604,0.81549,6.9874e-05,6.9874e-05,6.9874e-05
15,593.385,0.76426,0.92238,0.83754,0.84984,0.65595,0.80202,0.64995,0.71696,0.64469,0.81603,6.0172e-05,6.0172e-05,6.0172e-05
16,630.607,0.75881,0.88074,0.83303,0.75423,0.74456,0.80647,0.6532,0.71847,0.62977,0.81508,5.047e-05,5.047e-05,5.047e-05
17,668.15,0.75119,0.85601,0.83234,0.8631,0.65881,0.83559,0.68484,0.69436,0.59017,0.81131,4.0768e-05,4.0768e-05,4.0768e-05
18,705.68,0.73947,0.82461,0.83001,0.84677,0.68691,0.84993,0.69023,0.70689,0.57932,0.81153,3.1066e-05,3.1066e-05,3.1066e-05
19,742.291,0.73089,0.80036,0.82896,0.82178,0.77496,0.84402,0.68728,0.70093,0.57327,0.81081,2.1364e-05,2.1364e-05,2.1364e-05
20,778.812,0.72892,0.78998,0.83139,0.82471,0.77254,0.8655,0.70656,0.68384,0.56222,0.80898,1.1662e-05,1.1662e-05,1.1662e-05
